Банк ВТБ-Т2-3,Совкомбанк-БО-П02,Росэксимбанк-БО-002Р-02,Росэксимбанк-БО-002Р-03,ГПБ-001Р-20Р,ГПБ-001Р-19Р
0,0,0,0,1.03,1.39
272,102,64,0.65,0,3313
1,65,15,5,0,96
