Банк ВТБ-Т2-3,МСП Банк-С01,ГПБ-Т2-03Д,Совкомбанк-БО-П02,Росэксимбанк-БО-002Р-02,Росэксимбанк-БО-002Р-03,ГПБ-001Р-17Р,ГПБ-001Р-20Р,ГПБ-001Р-18Р,ГПБ-001Р-19Р
35.26,8.32,9.68,10.58,11.97,10.54,8.39,20.98,8.36,8.91
36.24,8.1,9.32,9.68,11.90,9.39,8.38,19.23,9.36,8.92
0,0.23,0.73,0,0,0,1.03,0,2.09,1.39
272,0,0,102,64,0.65,7618,0,189,3313
8.4,8.5,4.7,9,6.15,6.64,5.85,6.4,5.9,6.0
1,0,0,65,15,5,959,0,144,96
4,3,3,4,4,4,3,4,3,3
